time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2021-03-20,-2.6,-5.4,0.1,1.4,166.0,16.9,,1004.4
2021-03-21,-0.1,-2.6,1.8,1.0,231.0,18.2,,997.9
2021-03-22,-2.3,-5.0,1.1,1.2,226.0,7.7,,1010.6
2021-03-23,-4.5,-9.5,0.6,0.5,237.0,5.7,,1013.6
2021-03-24,-4.9,-17.4,0.1,0.0,250.0,10.3,,1011.4
2021-03-25,-4.3,-4.8,1.7,1.0,230.0,12.4,,1009.0
2021-03-26,-1.3,-13.9,5.1,0.0,222.0,11.0,,1009.9
2021-03-27,-1.0,-7.6,2.8,0.0,193.0,9.6,,1008.2
2021-03-28,-0.1,-1.9,4.0,8.9,121.0,3.5,,1003.1
2021-03-29,-4.3,-6.4,-1.9,9.9,358.0,18.1,,1007.4
2021-03-30,-5.6,-11.0,-1.3,0.0,307.0,12.2,,1025.7
2021-03-31,-2.5,-7.8,3.4,0.0,227.0,11.0,,1026.3
2021-04-01,-1.9,-12.0,3.3,0.0,197.0,17.0,,1022.6
2021-04-02,1.4,-2.0,2.6,3.0,216.0,18.7,,1016.2
2021-04-03,2.8,-1.2,7.3,0.0,217.0,13.9,,1019.2
2021-04-04,2.6,-4.1,6.8,0.0,167.0,14.1,,1017.6
2021-04-05,3.8,1.4,6.8,0.0,157.0,15.5,,1007.0
2021-04-06,2.8,1.1,5.3,0.3,230.0,20.0,,1010.2
2021-04-07,3.3,-1.5,8.4,0.0,255.0,14.4,,1020.7
2021-04-08,4.5,-5.7,10.6,0.0,107.0,7.0,,1026.2
2021-04-09,3.8,-0.5,7.3,0.0,106.0,15.5,,1028.6
2021-04-10,2.8,-2.8,10.4,0.0,137.0,8.3,,1037.8
2021-04-11,4.2,-5.1,9.7,0.0,201.0,8.8,,1040.2
2021-04-12,3.2,-1.0,7.4,0.3,245.0,11.0,,1030.9
2021-04-13,5.6,-4.6,11.4,0.0,293.0,10.5,,1034.6
2021-04-14,8.7,-0.8,15.3,0.0,265.0,12.0,,1026.7
2021-04-15,11.9,0.3,19.9,0.0,225.0,10.7,,1020.1
2021-04-16,4.4,-0.8,11.1,0.0,319.0,15.3,,1016.8
2021-04-17,2.1,-6.2,6.4,0.0,255.0,10.7,,1023.5
2021-04-18,-1.7,-6.7,8.1,0.5,251.0,17.0,,1010.1
2021-04-19,-8.1,-11.3,-4.2,0.0,342.0,17.0,,1027.2
2021-04-20,-3.4,-10.2,2.6,0.6,278.0,13.3,,1027.3
2021-04-21,-1.6,-3.2,0.3,0.2,357.0,14.9,,1025.8
2021-04-22,0.7,-8.4,7.3,0.0,120.0,6.8,,1042.2
2021-04-23,4.1,-3.1,9.9,0.0,167.0,12.5,,1043.3
2021-04-24,5.3,-3.9,12.5,0.0,180.0,9.8,,1035.4
2021-04-25,8.9,-0.6,13.6,0.0,147.0,11.6,,1026.7
2021-04-26,9.3,2.6,16.1,0.0,175.0,15.1,,1016.7
2021-04-27,7.7,0.4,14.5,0.1,211.0,12.0,,1013.0
2021-04-28,8.4,4.7,13.8,1.9,226.0,8.4,,1008.1
2021-04-29,8.4,4.6,13.8,0.5,241.0,11.8,,1007.6
2021-04-30,7.9,2.8,12.9,0.0,262.0,15.6,,1010.5
2021-05-01,4.4,1.6,8.0,0.3,291.0,18.1,,1018.8
2021-05-02,16.4,0.0,21.2,0.0,199.0,18.6,,1020.9
2021-05-03,10.7,4.7,13.9,3.4,266.0,12.6,,1015.2
2021-05-04,8.2,-1.4,14.9,0.0,252.0,10.5,,1021.0
2021-05-05,14.0,8.0,20.1,0.0,190.0,16.3,,1011.5
2021-05-06,14.3,9.2,21.9,0.0,218.0,18.3,,1001.8
2021-05-07,10.2,5.2,14.4,0.0,279.0,17.1,,1012.9
2021-05-08,14.9,8.1,22.1,0.0,292.0,13.6,,1017.3
2021-05-09,11.3,5.5,16.6,0.0,65.0,12.9,,1020.2
2021-05-10,11.2,5.0,17.2,0.0,63.0,13.1,,1024.5
2021-05-11,12.1,3.7,19.1,0.0,17.0,8.6,,1024.0
2021-05-12,12.3,5.1,18.5,0.1,305.0,12.4,,1020.0
2021-05-13,10.6,4.4,16.9,0.1,309.0,9.1,,1020.1
2021-05-14,12.8,6.2,19.6,0.0,314.0,9.0,,1024.0
2021-05-15,19.5,13.0,27.1,0.1,239.0,10.9,,1017.4
2021-05-16,18.7,13.9,25.6,0.5,293.0,10.9,,1013.0
2021-05-17,20.1,10.2,29.4,0.0,260.0,11.5,,1012.4
2021-05-18,16.7,11.6,22.6,6.9,332.0,12.2,,1008.9
2021-05-19,11.9,8.6,15.0,0.0,9.0,14.2,,1016.6
2021-05-20,7.5,3.3,10.8,2.7,343.0,9.5,,1021.9
